"statistic, pvalue, row is better than column",best set: template_24,template_19,template_25,template_18,template_23,template_26,template_21,template_15,template_22,template_27,template_17,template_16,template_20,template_43,template_53,template_47,template_39,template_51,template_49,template_41,template_14,template_55,template_46,template_45,template_35,template_40,template_33,template_52,template_29,template_37,template_48,template_28,template_31,template_10,template_32,template_54,template_42,template_4,template_38,template_1,template_50,template_2,template_13,template_9,template_11,template_44,template_5,template_7,template_3,template_8,template_6,template_0,template_12,template_34,template_36,template_30,group
template_17,"10.00, 0.25, False","8.00, 0.21, False","6.00, 0.24, False","12.00, 0.57, False","10.00, 0.68, False","16.00, 0.86, False","9.00, 0.82, False","12.00, 1.00, False","17.00, 1.00, False","11.00, 1.00, False",None,"14.00, 1.00, None","16.00, 1.00, None","16.00, 1.00, True","15.00, 1.00, True","15.00, 0.86, True","12.00, 0.85, True","16.00, 0.86, True","16.00, 0.86, True","10.00, 0.68, True","13.00, 0.58, True","13.00, 0.58, True","12.00, 0.46, True","13.00, 0.47, True","12.00, 0.36, True","13.00, 0.30, True","11.00, 0.26, True","12.00, 0.28, True","13.00, 0.30, True","11.00, 0.26, True","10.00, 0.18, True","12.00, 0.22, True","8.00, 0.15, True","12.00, 0.22, True","11.00, 0.15, True","10.00, 0.14, True","11.00, 0.15, True","10.00, 0.14, True","11.00, 0.15, True","11.00, 0.11, True","10.00, 0.10, True","12.00, 0.12, True","11.00, 0.11, True","10.00, 0.10, True","9.00, 0.09, True","9.00, 0.06, True","11.00, 0.08, True","10.00, 0.07, True","8.00, 0.05, True","9.00, 0.04, True","10.00, 0.05, True","12.00, 0.05, True","11.00, 0.04, True","9.00, 0.03, True","7.00, 0.01, True","8.00, 0.02, True",A
template_16,"6.00, 0.17, False","10.00, 0.25, False","9.00, 0.31, False","6.00, 0.45, False","13.00, 0.71, False","9.00, 0.82, False","12.00, 0.85, False","12.00, 1.00, False","10.00, 1.00, False","13.00, 1.00, False","14.00, 1.00, True",None,"6.00, 1.00, None","17.00, 1.00, True","15.00, 1.00, True","14.00, 0.86, True","12.00, 0.85, True","15.00, 0.86, True","16.00, 0.86, True","12.00, 0.70, True","10.00, 0.54, True","13.00, 0.58, True","13.00, 0.47, True","13.00, 0.47, True","11.00, 0.34, True","7.00, 0.19, True","12.00, 0.28, True","13.00, 0.30, True","11.00, 0.26, True","12.00, 0.28, True","11.00, 0.20, True","6.00, 0.12, True","9.00, 0.17, True","9.00, 0.17, True","8.00, 0.11, True","13.00, 0.18, True","13.00, 0.18, True","7.00, 0.09, True","6.00, 0.08, True","10.00, 0.10, True","11.00, 0.11, True","5.00, 0.04, True","9.00, 0.09, True","9.00, 0.09, True","9.00, 0.09, True","6.00, 0.03, True","10.00, 0.07, True","9.00, 0.06, True","9.00, 0.06, True","7.00, 0.03, True","7.00, 0.03, True","8.00, 0.02, True","6.00, 0.01, True","6.00, 0.01, True","5.00, 0.01, True","4.00, 0.00, True",A
template_20,"4.00, 0.12, False","8.00, 0.21, False","7.00, 0.26, False","2.00, 0.29, False","11.00, 0.69, False","6.00, 0.79, False","10.00, 0.83, False","9.00, 1.00, False","6.00, 1.00, False","10.00, 1.00, False","16.00, 1.00, True","6.00, 1.00, True",None,"15.00, 1.00, True","13.00, 1.00, True","12.00, 0.85, True","7.00, 0.80, True","12.00, 0.85, True","13.00, 0.85, True","7.00, 0.63, True","7.00, 0.48, True","11.00, 0.56, True","12.00, 0.46, True","13.00, 0.47, True","7.00, 0.26, True","6.00, 0.17, True","8.00, 0.21, True","12.00, 0.28, True","7.00, 0.19, True","7.00, 0.19, True","10.00, 0.18, True","5.00, 0.10, True","8.00, 0.15, True","6.00, 0.12, True","7.00, 0.09, True","13.00, 0.18, True","13.00, 0.18, True","4.00, 0.05, True","4.00, 0.05, True","6.00, 0.05, True","10.00, 0.10, True","6.00, 0.05, True","6.00, 0.05, True","5.00, 0.04, True","5.00, 0.04, True","7.00, 0.04, True","6.00, 0.03, True","5.00, 0.03, True","8.00, 0.05, True","4.00, 0.01, True","3.00, 0.01, True","6.00, 0.01, True","5.00, 0.01, True","4.00, 0.01, True","3.00, 0.00, True","5.00, 0.01, True",A
template_43,"11.00, 0.20, False","9.00, 0.17, False","10.00, 0.25, False","12.00, 0.46, False","12.00, 0.57, False","14.00, 0.72, False","12.00, 0.70, False","12.00, 0.85, False","12.00, 0.85, False","11.00, 0.84, False","16.00, 1.00, False","17.00, 1.00, False","15.00, 1.00, False",None,"4.00, 1.00, None","2.00, 1.00, True","10.00, 1.00, True","2.00, 1.00, True","3.00, 1.00, True","9.00, 0.82, True","11.00, 0.69, True","2.00, 0.45, True","8.00, 0.50, True","8.00, 0.50, True","11.00, 0.44, True","12.00, 0.36, True","8.00, 0.29, True","7.00, 0.26, True","10.00, 0.33, True","9.00, 0.31, True","6.00, 0.17, True","10.00, 0.25, True","9.00, 0.23, True","11.00, 0.26, True","11.00, 0.20, True","6.00, 0.12, True","6.00, 0.12, True","9.00, 0.17, True","10.00, 0.18, True","9.00, 0.12, True","6.00, 0.08, True","11.00, 0.15, True","9.00, 0.12, True","10.00, 0.14, True","8.00, 0.11, True","8.00, 0.08, True","9.00, 0.09, True","10.00, 0.10, True","10.00, 0.10, True","9.00, 0.06, True","10.00, 0.07, True","9.00, 0.04, True","9.00, 0.04, True","9.00, 0.04, True","7.00, 0.02, True","9.00, 0.03, True",A
template_53,"9.00, 0.17, False","9.00, 0.17, False","9.00, 0.23, False","12.00, 0.46, False","12.00, 0.57, False","13.00, 0.71, False","11.00, 0.69, False","11.00, 0.84, False","11.00, 0.84, False","10.00, 0.83, False","15.00, 1.00, False","15.00, 1.00, False","13.00, 1.00, False","4.00, 1.00, True",None,"2.00, 1.00, True","8.00, 1.00, True","3.00, 1.00, True","3.00, 1.00, True","7.00, 0.80, True","10.00, 0.68, True","0.00, 0.25, True","9.00, 0.52, True","7.00, 0.48, True","9.00, 0.40, True","10.00, 0.33, True","6.00, 0.24, True","6.00, 0.24, True","9.00, 0.31, True","7.00, 0.26, True","7.00, 0.19, True","9.00, 0.23, True","8.00, 0.21, True","9.00, 0.23, True","9.00, 0.17, True","8.00, 0.15, True","9.00, 0.17, True","7.00, 0.13, True","9.00, 0.17, True","8.00, 0.11, True","7.00, 0.09, True","10.00, 0.14, True","8.00, 0.11, True","7.00, 0.09, True","6.00, 0.08, True","8.00, 0.08, True","6.00, 0.05, True","7.00, 0.06, True","7.00, 0.06, True","7.00, 0.04, True","8.00, 0.05, True","9.00, 0.04, True","8.00, 0.04, True","7.00, 0.03, True","6.00, 0.01, True","7.00, 0.02, True",A
template_47,"9.00, 0.12, False","8.00, 0.11, False","9.00, 0.17, False","12.00, 0.36, False","11.00, 0.44, False","13.00, 0.58, False","10.00, 0.54, False","10.00, 0.68, False","10.00, 0.68, False","10.00, 0.68, False","15.00, 0.86, False","14.00, 0.86, False","12.00, 0.85, False","2.00, 1.00, False","2.00, 1.00, False",None,"10.00, 1.00, None","2.00, 1.00, None","3.00, 1.00, None","9.00, 1.00, True","10.00, 0.83, True","2.00, 0.69, True","10.00, 0.68, True","8.00, 0.65, True","10.00, 0.54, True","12.00, 0.46, True","7.00, 0.36, True","9.00, 0.40, True","9.00, 0.40, True","9.00, 0.40, True","8.00, 0.29, True","10.00, 0.33, True","10.00, 0.33, True","11.00, 0.34, True","11.00, 0.26, True","8.00, 0.21, True","9.00, 0.23, True","9.00, 0.23, True","11.00, 0.26, True","9.00, 0.17, True","8.00, 0.15, True","11.00, 0.20, True","9.00, 0.17, True","9.00, 0.17, True","7.00, 0.13, True","9.00, 0.12, True","7.00, 0.09, True","8.00, 0.11, True","8.00, 0.11, True","9.00, 0.09, True","9.00, 0.09, True","10.00, 0.07, True","10.00, 0.07, True","9.00, 0.06, True","8.00, 0.04, True","8.00, 0.04, True",A
template_39,"6.00, 0.08, False","5.00, 0.06, False","5.00, 0.10, False","6.00, 0.24, False","8.00, 0.38, False","8.00, 0.50, False","7.00, 0.48, False","5.00, 0.58, False","10.00, 0.68, False","6.00, 0.61, False","12.00, 0.85, False","12.00, 0.85, False","7.00, 0.80, False","10.00, 1.00, False","8.00, 1.00, False","10.00, 1.00, True",None,"9.00, 1.00, None","10.00, 1.00, None","1.00, 1.00, True","9.00, 0.82, True","7.00, 0.80, True","12.00, 0.70, True","10.00, 0.68, True","4.00, 0.39, True","8.00, 0.38, True","3.00, 0.23, True","10.00, 0.42, True","4.00, 0.27, True","2.00, 0.18, True","10.00, 0.33, True","7.00, 0.26, True","6.00, 0.24, True","7.00, 0.26, True","8.00, 0.21, True","11.00, 0.26, True","11.00, 0.26, True","5.00, 0.14, True","6.00, 0.17, True","4.00, 0.08, True","10.00, 0.18, True","9.00, 0.17, True","4.00, 0.08, True","3.00, 0.06, True","2.00, 0.04, True","9.00, 0.12, True","3.00, 0.04, True","3.00, 0.04, True","6.00, 0.08, True","6.00, 0.05, True","5.00, 0.04, True","8.00, 0.05, True","6.00, 0.03, True","5.00, 0.03, True","4.00, 0.01, True","7.00, 0.03, True",A
template_51,"9.00, 0.12, False","8.00, 0.11, False","9.00, 0.17, False","12.00, 0.36, False","12.00, 0.46, False","12.00, 0.57, False","10.00, 0.54, False","10.00, 0.68, False","11.00, 0.69, False","10.00, 0.68, False","16.00, 0.86, False","15.00, 0.86, False","12.00, 0.85, False","2.00, 1.00, False","3.00, 1.00, False","2.00, 1.00, True","9.00, 1.00, True",None,"2.00, 1.00, None","8.00, 1.00, True","11.00, 0.84, True","2.00, 0.69, True","9.00, 0.66, True","7.00, 0.63, True","10.00, 0.54, True","12.00, 0.46, True","7.00, 0.36, True","8.00, 0.38, True","9.00, 0.40, True","8.00, 0.38, True","7.00, 0.26, True","11.00, 0.34, True","9.00, 0.31, True","11.00, 0.34, True","11.00, 0.26, True","7.00, 0.19, True","8.00, 0.21, True","10.00, 0.25, True","11.00, 0.26, True","9.00, 0.17, True","7.00, 0.13, True","11.00, 0.20, True","8.00, 0.15, True","9.00, 0.17, True","7.00, 0.13, True","9.00, 0.12, True","7.00, 0.09, True","8.00, 0.11, True","9.00, 0.12, True","10.00, 0.10, True","9.00, 0.09, True","10.00, 0.07, True","10.00, 0.07, True","9.00, 0.06, True","8.00, 0.04, True","8.00, 0.04, True",A
template_49,"9.00, 0.12, False","9.00, 0.12, False","9.00, 0.17, False","12.00, 0.36, False","12.00, 0.46, False","12.00, 0.57, False","11.00, 0.56, False","10.00, 0.68, False","11.00, 0.69, False","10.00, 0.68, False","16.00, 0.86, False","16.00, 0.86, False","13.00, 0.85, False","3.00, 1.00, False","3.00, 1.00, False","3.00, 1.00, True","10.00, 1.00, True","2.00, 1.00, True",None,"9.00, 1.00, True","11.00, 0.84, True","2.00, 0.69, True","8.00, 0.65, True","6.00, 0.61, True","12.00, 0.57, True","12.00, 0.46, True","9.00, 0.40, True","8.00, 0.38, True","11.00, 0.44, True","9.00, 0.40, True","7.00, 0.26, True","11.00, 0.34, True","10.00, 0.33, True","11.00, 0.34, True","11.00, 0.26, True","7.00, 0.19, True","8.00, 0.21, True","10.00, 0.25, True","11.00, 0.26, True","8.00, 0.15, True","7.00, 0.13, True","12.00, 0.22, True","8.00, 0.15, True","8.00, 0.15, True","6.00, 0.12, True","8.00, 0.11, True","7.00, 0.09, True","8.00, 0.11, True","8.00, 0.11, True","10.00, 0.10, True","10.00, 0.10, True","9.00, 0.06, True","9.00, 0.06, True","9.00, 0.06, True","8.00, 0.04, True","9.00, 0.04, True",A
template_41,"5.00, 0.04, False","4.00, 0.03, False","4.00, 0.05, False","6.00, 0.17, False","7.00, 0.26, False","9.00, 0.40, False","6.00, 0.33, False","5.00, 0.42, False","9.00, 0.52, False","5.00, 0.42, False","10.00, 0.68, False","12.00, 0.70, False","7.00, 0.63, False","9.00, 0.82, False","7.00, 0.80, False","9.00, 1.00, False","1.00, 1.00, False","8.00, 1.00, False","9.00, 1.00, False",None,"9.00, 1.00, True","7.00, 1.00, True","12.00, 0.85, True","10.00, 0.83, True","5.00, 0.58, True","9.00, 0.52, True","3.00, 0.34, True","10.00, 0.54, True","5.00, 0.42, True","3.00, 0.34, True","10.00, 0.42, True","8.00, 0.38, True","5.00, 0.30, True","7.00, 0.36, True","8.00, 0.29, True","11.00, 0.34, True","11.00, 0.34, True","6.00, 0.24, True","8.00, 0.29, True","5.00, 0.14, True","10.00, 0.25, True","10.00, 0.25, True","5.00, 0.14, True","4.00, 0.12, True","3.00, 0.09, True","8.00, 0.15, True","4.00, 0.08, True","4.00, 0.08, True","7.00, 0.13, True","6.00, 0.08, True","6.00, 0.08, True","8.00, 0.08, True","7.00, 0.06, True","6.00, 0.05, True","5.00, 0.03, True","7.00, 0.04, True",B
template_14,"3.00, 0.01, False","6.00, 0.03, False","5.00, 0.04, False","6.00, 0.12, False","8.00, 0.21, False","5.00, 0.21, False","8.00, 0.29, False","7.00, 0.36, False","3.00, 0.23, False","7.00, 0.36, False","13.00, 0.58, False","10.00, 0.54, False","7.00, 0.48, False","11.00, 0.69, False","10.00, 0.68, False","10.00, 0.83, False","9.00, 0.82, False","11.00, 0.84, False","11.00, 0.84, False","9.00, 1.00, False",None,"11.00, 1.00, None","12.00, 1.00, True","13.00, 1.00, True","10.00, 0.83, True","10.00, 0.68, True","9.00, 0.66, True","11.00, 0.69, True","9.00, 0.66, True","7.00, 0.63, True","10.00, 0.54, True","7.00, 0.48, True","9.00, 0.52, True","8.00, 0.50, True","10.00, 0.42, True","8.00, 0.38, True","9.00, 0.40, True","7.00, 0.36, True","8.00, 0.38, True","8.00, 0.29, True","8.00, 0.29, True","13.00, 0.38, True","8.00, 0.29, True","7.00, 0.26, True","7.00, 0.26, True","9.00, 0.23, True","6.00, 0.17, True","7.00, 0.19, True","10.00, 0.25, True","6.00, 0.12, True","6.00, 0.12, True","7.00, 0.09, True","7.00, 0.09, True","7.00, 0.09, True","5.00, 0.04, True","10.00, 0.10, True",B
